text,label,meta,context,source,target
"The court ordered an investigation against former Costa Rican president Oscar Arias, the former environment minister Roberto Dobles, and the former director of the National Technical Secretariat of the Environment Ministry (SETENA) Sonia Espinoza, for the signing of permits and the decree which declared the project in the public interest and allowed it to move forward.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=614,,court,"former Costa Rican president Oscar Arias, the former environment minister Roberto Dobles, and the former director of the National Technical Secretariat of the Environment Ministry (SETENA) Sonia Espinoza"
"Britain was responsible for the killing of 24 unarmed Malayan civilians who were shot dead by British troops during a campaign against Communist insurgents, a London court ruled on Tuesday, contradicting the official government position.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=615,,Britain,24 unarmed Malayan civilians
"On Sunday, Prime Minister Yusuf Raza Gilani accepted demands from former Prime Minister Nawaz Sharif in a bid to further defuse Pakistan's political crisis.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=616,,Prime Minister Yusuf Raza Gilani,former Prime Minister Nawaz Sharif
"On February 25, Home Minister Amit Shah had discussed the situation with the Delhi chief minister and leaders of various parties.",CONSULT,PLOVER event record.|PLV|split=test|sentence_id=617,,Home Minister Amit Shah,Delhi chief minister and leaders of various parties
"Algeria must boycott relations with coup government in Egypt, says politicians.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=618,,Algeria,coup government in Egypt
"Congo is boycotting two planned U.N. events focusing on the central African nation because it was not consulted on the agenda or expected outcome, the president's top adviser said Wednesday.",PROTEST,PLOVER event record.|PLV|split=test|sentence_id=619,,Congo,two planned U.N. events
"A French court on Monday found former premier Francois Fillon guilty of charges of creating a fake job for his wife, using taxpayer money.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=620,,French court,former premier Francois Fillon
"Netherlands: Britain's Electoral Commission has blamed very short notice from the government of the UK's participation in European Parliament elections, after many EU citizens complained they were unable to vote in Britain on Thursday.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=621,,Britain's Electoral Commission,government of the UK's participation in European Parliament elections
"Separately, Indian police arrested a youth from the Hajin town in Bandipora district and dubbed him an ""over-ground worker"" of a fighters' organisation.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=622,,Indian police,youth from the Hajin town in Bandipora district
Fiji's Governor General Ratu Sir Penaia Ganilau said today that he has refused to swear in coup leader Lt. Col. Sitiveni Rabuka and his ministers and announced plans to call elections in the Pacific island.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=623,,Fiji's Governor General Ratu Sir Penaia Ganilau,coup leader Lt. Col. Sitiveni Rabuka
Papandreou agreed to resign without returning to Greek government because of the insistence of opposition parties that he not participate in any new coalition government.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=624,,Papandreou,Greek government
MOSCOW -- A Moscow court on Tuesday found a Norwegian man guilty of espionage and sentenced him to 14 years in a high-security prison.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=625,,Moscow court,Norwegian man
"The US has strengthened its forces in the Gulf, saying there was a danger of Iranian attacks.",MOBILIZE,PLOVER event record.|PLV|split=test|sentence_id=626,,US,Gulf
"American authorities shared evidence with their European counterparts to allow officials in Ukraine, Moldova and Georgia to initiate prosecutions in the nations where the defendants reside.",COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=627,,American authorities,their European counterparts
"Police in the western German city of Mainz later detained a fifth suspect, a 26-year-old Syrian man with no prior criminal record, after searching the apartment where he was found.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=628,,Police in the western German city of Mainz,"fifth suspect, a 26-year-old Syrian man with no prior criminal record"
"Egypt has released Al Jazeera journalist Mahmoud Hussein after more than four years in detention on accusations of publishing false news, a security source said Friday.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=629,,Egypt,Al Jazeera journalist Mahmoud Hussein
"Italian police have arrested an American citizen on suspicion of brutally murdering a shopkeeper in the city of Viterbo, near Rome, authorities told CNN Sunday.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=630,,Italian police,American citizen
South Sudan on Saturday lifted the state of emergency in four of the country's states as a means to pace reunification of forces in greater Bahr el Ghazal amid party's consensus to extend the pre-transitional period of six months.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=631,,South Sudan,four of the country's states
The European commission has delegated the blame onto the Greek government and administration despite providing them with over EUR2bn in aid.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=632,,European commission,Greek government and administration
Theresa May has met German Chancellor Angela Merkel at a summit in Estonia in a bid to push for progress in Brexit talks.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=633,,Theresa May,German Chancellor Angela Merkel
The Afghan armed forces pounded the Taliban hideouts with heavy artillery and airstrikes in northeastern Badakhshan province of Afghanistan.,ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=634,,Afghan armed forces,Taliban hideouts
"Kony and the LRA are responsible for mass killings, rapes and child abductions throughout Central African Republic.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=635,,Kony and the LRA,Central African Republic
"N'DJAMENA (Reuters) - Chadian army helicopters killed two civilians in bombing runs over a gold mining town along the Libyan border, where government forces have clashed with a fledgling rebel movement, a family member of the victims and an intelligence official said.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=636,,Chadian army helicopters,two civilians
British Prime Minister John Major and Irish Prime Minister John Bruton agreed to the framework document designed to build on a six-month-old ceasefire and create a lasting settlement of 25 years of conflict.,SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=637,,British Prime Minister John Major,Irish Prime Minister John Bruton
President Vladimir V. Putin said Edward J. Snowden would not receive political asylum in Russia unless he stopped publishing classified documents that hurt the interests of the United States.,THREATEN,PLOVER event record.|PLV|split=test|sentence_id=638,,President Vladimir V. Putin,Edward J. Snowden
New Zealand police said they have detained four people in connection with deadly shootings at two mosques in Christchurch on Friday.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=639,,New Zealand police,four people in connection with deadly shootings at two mosques in Christchurch
"The Ministry of Health, under impulse of the President, demanded support from the Belgian Development Cooperation in order to offer quality health care to all in Senegal.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=640,,Ministry of Health,Belgian Development Cooperation
Germany is a long-standing partner of WFP's assistance in South Sudan and has contributed close to US$141 million since independence in 2011.,AID,PLOVER event record.|PLV|split=test|sentence_id=641,,Germany,South Sudan
"Indian police arrested Jammu and Kashmir Liberation Front (JKLF) Chairman Muhammad Yasin Malik from his office at Aabi Guzar in Srinagar on Tuesday to stop him from carrying out an election boycott drive, said Kashmir Media Service.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=642,,Indian police,Jammu and Kashmir Liberation Front (JKLF) Chairman Muhammad Yasin Malik
The Polish foreign ministry summoned Germany's charge d'affaires in Warsaw on Wednesday to complain of what it said were inaccuracies and bias in German media coverage of Poland's presidential election.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=643,,Polish foreign ministry,Germany's charge d'affaires
MEXICO CITY - Federal police and soldiers say they have arrested the leader of the Rojos gang that sowed terror in southern Mexico.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=644,,Federal police and soldiers,Rojos gang
"UN troops remained on alert today against further violence following the church attack, which the government blamed on remnants of Seleka, a rebel force that briefly seized power in 2013.",MOBILIZE,PLOVER event record.|PLV|split=test|sentence_id=645,,UN troops,Seleka
"Brazil's Supreme Federal Court (STF) on Monday ordered an investigation against President Jair Bolsonaro, due to accusations by former Justice Minister Sergio Moro.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=646,,Brazil's Supreme Federal Court (STF),President Jair Bolsonaro
"WASHINGTON -- U.S. President Donald Trump's reelection campaign has filed a libel lawsuit against The New York Times (NYT) , accusing it of falsely asserting a trade-off between Russian officials and the president's 2016 campaign.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=647,,U.S. President Donald Trump's reelection campaign,New York Times (NYT)
"Fourth, the Pakistan Army has destroyed several TTP terrorist camps in Afghanistan's area of Parcha and Lalpura.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=648,,Pakistan Army,several TTP terrorist camps in Afghanistan's area of Parcha and Lalpura
The Israel Navy arrested a stowaway aboard a Turkish merchant ship on Sunday after the man attempted to set the vessel ablaze outside Haifa Port.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=649,,Israel Navy,stowaway aboard a Turkish merchant ship
USAID deployed seven search-and-rescue teams as part of an international rescue effort that saved more than 130 lives in Haiti.,COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=650,,USAID,Haiti
